# r          g(r)
2.625000e-02 0.000000e+00
4.375000e-02 0.000000e+00
6.125000e-02 0.000000e+00
7.875000e-02 0.000000e+00
9.625000e-02 0.000000e+00
1.137500e-01 0.000000e+00
1.312500e-01 0.000000e+00
1.487500e-01 0.000000e+00
1.662500e-01 0.000000e+00
1.837500e-01 0.000000e+00
2.012500e-01 0.000000e+00
2.187500e-01 0.000000e+00
2.362500e-01 0.000000e+00
2.537500e-01 0.000000e+00
2.712500e-01 0.000000e+00
2.887500e-01 0.000000e+00
3.062500e-01 0.000000e+00
3.237500e-01 0.000000e+00
3.412500e-01 0.000000e+00
3.587500e-01 0.000000e+00
3.762500e-01 0.000000e+00
3.937500e-01 0.000000e+00
4.112500e-01 0.000000e+00
4.287500e-01 0.000000e+00
4.462500e-01 0.000000e+00
4.637500e-01 0.000000e+00
4.812500e-01 0.000000e+00
4.987500e-01 0.000000e+00
5.162500e-01 0.000000e+00
5.337500e-01 0.000000e+00
5.512500e-01 0.000000e+00
5.687500e-01 0.000000e+00
5.862500e-01 0.000000e+00
6.037500e-01 0.000000e+00
6.212500e-01 0.000000e+00
6.387500e-01 0.000000e+00
6.562500e-01 0.000000e+00
6.737500e-01 0.000000e+00
6.912500e-01 0.000000e+00
7.087500e-01 0.000000e+00
7.262501e-01 0.000000e+00
7.437500e-01 0.000000e+00
7.612500e-01 0.000000e+00
7.787500e-01 0.000000e+00
7.962500e-01 0.000000e+00
8.137500e-01 0.000000e+00
8.312500e-01 0.000000e+00
8.487500e-01 0.000000e+00
8.662500e-01 0.000000e+00
8.837500e-01 0.000000e+00
9.012500e-01 0.000000e+00
9.187500e-01 0.000000e+00
9.362500e-01 0.000000e+00
9.537500e-01 0.000000e+00
9.712500e-01 0.000000e+00
9.887500e-01 2.422520e-05
1.006250e+00 1.078276e-02
1.023750e+00 3.709527e-01
1.041250e+00 2.423329e+00
1.058750e+00 5.744628e+00
1.076250e+00 7.324814e+00
1.093750e+00 6.565300e+00
1.111250e+00 4.972215e+00
1.128750e+00 3.526876e+00
1.146250e+00 2.480064e+00
1.163750e+00 1.776688e+00
1.181250e+00 1.316580e+00
1.198750e+00 1.001856e+00
1.216250e+00 8.029919e-01
1.233750e+00 6.648819e-01
1.251250e+00 5.657057e-01
1.268750e+00 4.984215e-01
1.286250e+00 4.413200e-01
1.303750e+00 4.033281e-01
1.321250e+00 3.780894e-01
1.338750e+00 3.564193e-01
1.356250e+00 3.344930e-01
1.373750e+00 3.247446e-01
1.391250e+00 3.124194e-01
1.408750e+00 3.146219e-01
1.426250e+00 3.108597e-01
1.443750e+00 3.188117e-01
1.461250e+00 3.298875e-01
1.478750e+00 3.486526e-01
1.496250e+00 3.829004e-01
1.513750e+00 4.378479e-01
1.531250e+00 4.756149e-01
1.548750e+00 5.139793e-01
1.566250e+00 5.500368e-01
1.583750e+00 5.847358e-01
1.601250e+00 6.211767e-01
1.618750e+00 6.712631e-01
1.636250e+00 7.413723e-01
1.653750e+00 8.596118e-01
1.671250e+00 9.882224e-01
1.688750e+00 1.108332e+00
1.706250e+00 1.175893e+00
1.723750e+00 1.179928e+00
1.741250e+00 1.152168e+00
1.758750e+00 1.122863e+00
1.776250e+00 1.116479e+00
1.793750e+00 1.122222e+00
1.811250e+00 1.157305e+00
1.828750e+00 1.210970e+00
1.846250e+00 1.262209e+00
1.863750e+00 1.306184e+00
1.881250e+00 1.344813e+00
1.898750e+00 1.338653e+00
1.916250e+00 1.312553e+00
1.933750e+00 1.264111e+00
1.951250e+00 1.211791e+00
1.968750e+00 1.148538e+00
1.986250e+00 1.104045e+00
2.003750e+00 1.077512e+00
2.021250e+00 1.083189e+00
2.038750e+00 1.113992e+00
2.056250e+00 1.180819e+00
2.073750e+00 1.270842e+00
2.091250e+00 1.369016e+00
2.108750e+00 1.430154e+00
2.126250e+00 1.452649e+00
2.143750e+00 1.408434e+00
