# r          S(k)
4.735000e-01 nan
7.225000e-01 -7.746035e-03
9.715000e-01 -8.533942e-03
1.220500e+00 -9.820579e-03
1.469500e+00 -1.004594e-02
1.718500e+00 -1.067166e-02
1.967500e+00 -1.223812e-02
2.216500e+00 -1.346993e-02
2.465500e+00 -1.649976e-02
2.714500e+00 -2.025575e-02
2.963500e+00 -2.459640e-02
3.212500e+00 -2.812215e-02
3.461500e+00 -3.366965e-02
3.710500e+00 -4.262019e-02
3.959500e+00 -5.627063e-02
4.208500e+00 -7.416002e-02
4.457500e+00 -9.313450e-02
4.706500e+00 -1.200989e-01
4.955500e+00 -1.398812e-01
5.204500e+00 -1.727559e-01
5.453500e+00 -2.097559e-01
5.702500e+00 -2.490866e-01
5.951500e+00 -2.815046e-01
6.200500e+00 -3.100471e-01
6.449500e+00 -3.210312e-01
6.698500e+00 -2.990201e-01
6.947500e+00 -1.709208e-01
7.196500e+00 8.987190e-02
7.445499e+00 3.083217e-01
7.694500e+00 3.496052e-01
7.943500e+00 2.869448e-01
8.192500e+00 2.298978e-01
8.441500e+00 1.784655e-01
8.690500e+00 1.418394e-01
8.939501e+00 1.118437e-01
9.188500e+00 9.270924e-02
9.437500e+00 7.107090e-02
9.686501e+00 5.496579e-02
9.935500e+00 3.579485e-02
1.018450e+01 1.607445e-02
1.043350e+01 -3.925477e-03
1.068250e+01 -2.570674e-02
1.093150e+01 -4.844285e-02
1.118050e+01 -7.688866e-02
1.142950e+01 -1.057802e-01
1.167850e+01 -1.335620e-01
1.192750e+01 -1.510820e-01
1.217650e+01 -1.504838e-01
1.242550e+01 -1.272096e-01
1.267450e+01 -8.862277e-02
1.292350e+01 -5.136146e-02
1.317250e+01 -1.988581e-02
1.342150e+01 3.542070e-04
1.367050e+01 8.299937e-03
1.391950e+01 1.383467e-02
1.416850e+01 2.072618e-02
1.441750e+01 2.905448e-02
1.466650e+01 4.302112e-02
1.491550e+01 5.417299e-02
1.516450e+01 6.586738e-02
1.541350e+01 7.425054e-02
1.566250e+01 8.001938e-02
1.591150e+01 8.024102e-02
1.616050e+01 7.988270e-02
1.640950e+01 7.396272e-02
1.665850e+01 6.610350e-02
1.690750e+01 5.420464e-02
1.715650e+01 3.674999e-02
1.740550e+01 1.222142e-02
1.765450e+01 -1.415326e-02
1.790350e+01 -4.696153e-02
1.815250e+01 -7.592177e-02
1.840150e+01 -9.311892e-02
1.865050e+01 -9.804012e-02
1.889950e+01 -9.244157e-02
1.914850e+01 -7.822897e-02
1.939750e+01 -6.072877e-02
1.964650e+01 -4.285311e-02
1.989550e+01 -2.826469e-02
2.014450e+01 -1.410460e-02
2.039350e+01 -3.711344e-03
2.064250e+01 4.242572e-03
2.089150e+01 1.351987e-02
2.114050e+01 1.896195e-02
2.138950e+01 2.343691e-02
2.163850e+01 2.970967e-02
2.188750e+01 3.484399e-02
2.213650e+01 3.991030e-02
2.238550e+01 4.484480e-02
2.263450e+01 5.021930e-02
2.288350e+01 5.196937e-02
2.313250e+01 5.303312e-02
2.338150e+01 4.851230e-02
2.363050e+01 4.049258e-02
2.387950e+01 2.807056e-02
2.412850e+01 1.354956e-02
2.437750e+01 -4.511707e-03
2.462650e+01 -1.947366e-02
2.487550e+01 -3.216261e-02
