# r          S(k)
4.735000e-01 nan
7.225000e-01 9.032659e-02
9.715000e-01 9.298155e-02
1.220500e+00 9.394044e-02
1.469500e+00 9.500348e-02
1.718500e+00 9.815661e-02
1.967500e+00 9.997930e-02
2.216500e+00 9.979719e-02
2.465500e+00 1.057978e-01
2.714500e+00 1.107623e-01
2.963500e+00 1.198454e-01
3.212500e+00 1.265721e-01
3.461500e+00 1.316550e-01
3.710500e+00 1.419062e-01
3.959500e+00 1.554563e-01
4.208500e+00 1.739396e-01
4.457500e+00 1.866415e-01
4.706500e+00 2.042108e-01
4.955500e+00 2.164421e-01
5.204500e+00 2.328363e-01
5.453500e+00 2.429329e-01
5.702500e+00 2.485190e-01
5.951500e+00 2.470041e-01
6.200500e+00 2.339405e-01
6.449500e+00 2.164218e-01
6.698500e+00 1.783622e-01
6.947500e+00 1.461613e-01
7.196500e+00 1.454161e-01
7.445499e+00 1.740021e-01
7.694500e+00 2.042101e-01
7.943500e+00 2.236881e-01
8.192500e+00 2.257710e-01
8.441500e+00 2.232130e-01
8.690500e+00 2.138973e-01
8.939501e+00 2.081393e-01
9.188500e+00 2.008993e-01
9.437500e+00 1.967760e-01
9.686501e+00 1.940953e-01
9.935500e+00 1.904600e-01
1.018450e+01 1.907837e-01
1.043350e+01 1.917740e-01
1.068250e+01 1.939780e-01
1.093150e+01 1.962531e-01
1.118050e+01 2.020929e-01
1.142950e+01 2.038972e-01
1.167850e+01 2.075243e-01
1.192750e+01 2.075712e-01
1.217650e+01 2.029588e-01
1.242550e+01 1.990159e-01
1.267450e+01 1.927676e-01
1.292350e+01 1.881889e-01
1.317250e+01 1.883927e-01
1.342150e+01 1.901915e-01
1.367050e+01 1.953535e-01
1.391950e+01 2.006713e-01
1.416850e+01 2.047109e-01
1.441750e+01 2.071102e-01
1.466650e+01 2.103848e-01
1.491550e+01 2.114217e-01
1.516450e+01 2.102686e-01
1.541350e+01 2.099738e-01
1.566250e+01 2.076761e-01
1.591150e+01 2.047930e-01
1.616050e+01 2.026738e-01
1.640950e+01 1.976992e-01
1.665850e+01 1.941552e-01
1.690750e+01 1.915799e-01
1.715650e+01 1.890570e-01
1.740550e+01 1.880697e-01
1.765450e+01 1.897461e-01
1.790350e+01 1.926636e-01
1.815250e+01 1.961740e-01
1.840150e+01 2.005295e-01
1.865050e+01 2.046931e-01
1.889950e+01 2.072997e-01
1.914850e+01 2.067046e-01
1.939750e+01 2.056918e-01
1.964650e+01 2.030824e-01
1.989550e+01 2.020881e-01
2.014450e+01 1.999206e-01
2.039350e+01 1.983773e-01
2.064250e+01 1.984918e-01
2.089150e+01 1.976549e-01
2.114050e+01 1.975429e-01
2.138950e+01 1.990983e-01
2.163850e+01 2.001087e-01
2.188750e+01 2.011355e-01
2.213650e+01 2.021194e-01
2.238550e+01 2.031105e-01
2.263450e+01 2.032942e-01
2.288350e+01 2.038467e-01
2.313250e+01 2.027083e-01
2.338150e+01 2.010452e-01
2.363050e+01 1.987312e-01
2.387950e+01 1.976155e-01
2.412850e+01 1.960719e-01
2.437750e+01 1.958772e-01
2.462650e+01 1.957489e-01
2.487550e+01 1.964595e-01
