# r          S(k)
4.735000e-01 nan
7.225000e-01 2.857936e-03
9.715000e-01 2.916607e-03
1.220500e+00 3.714881e-03
1.469500e+00 3.822237e-03
1.718500e+00 3.974209e-03
1.967500e+00 4.620934e-03
2.216500e+00 5.559222e-03
2.465500e+00 6.491474e-03
2.714500e+00 8.430915e-03
2.963500e+00 1.010758e-02
3.212500e+00 1.220023e-02
3.461500e+00 1.482400e-02
3.710500e+00 2.016662e-02
3.959500e+00 2.748466e-02
4.208500e+00 4.068483e-02
4.457500e+00 5.657359e-02
4.706500e+00 7.843978e-02
4.955500e+00 1.024578e-01
5.204500e+00 1.469551e-01
5.453500e+00 2.146591e-01
5.702500e+00 3.168177e-01
5.951500e+00 4.447301e-01
6.200500e+00 6.334111e-01
6.449500e+00 8.985745e-01
6.698500e+00 1.462732e+00
6.947500e+00 2.182756e+00
7.196500e+00 2.806506e+00
7.445499e+00 2.524794e+00
7.694500e+00 1.750712e+00
7.943500e+00 1.037282e+00
8.192500e+00 6.976367e-01
8.441500e+00 5.122744e-01
8.690500e+00 3.953956e-01
8.939501e+00 3.244602e-01
9.188500e+00 2.897581e-01
9.437500e+00 2.657290e-01
9.686501e+00 2.620097e-01
9.935500e+00 2.661959e-01
1.018450e+01 2.880035e-01
1.043350e+01 3.302149e-01
1.068250e+01 3.903981e-01
1.093150e+01 4.655091e-01
1.118050e+01 5.881047e-01
1.142950e+01 7.492406e-01
1.167850e+01 9.440429e-01
1.192750e+01 1.165520e+00
1.217650e+01 1.347051e+00
1.242550e+01 1.425571e+00
1.267450e+01 1.387300e+00
1.292350e+01 1.276390e+00
1.317250e+01 1.109046e+00
1.342150e+01 9.851872e-01
1.367050e+01 8.872779e-01
1.391950e+01 8.135805e-01
1.416850e+01 7.673135e-01
1.441750e+01 7.212940e-01
1.466650e+01 6.675981e-01
1.491550e+01 6.171242e-01
1.516450e+01 5.657098e-01
1.541350e+01 5.315143e-01
1.566250e+01 5.144873e-01
1.591150e+01 5.070022e-01
1.616050e+01 5.210986e-01
1.640950e+01 5.516212e-01
1.665850e+01 5.936834e-01
1.690750e+01 6.606550e-01
1.715650e+01 7.447602e-01
1.740550e+01 8.545309e-01
1.765450e+01 9.614480e-01
1.790350e+01 1.068142e+00
1.815250e+01 1.125729e+00
1.840150e+01 1.133187e+00
1.865050e+01 1.096554e+00
1.889950e+01 1.031677e+00
1.914850e+01 9.569721e-01
1.939750e+01 8.984246e-01
1.964650e+01 8.508602e-01
1.989550e+01 8.073177e-01
2.014450e+01 7.647278e-01
2.039350e+01 7.255763e-01
2.064250e+01 6.817157e-01
2.089150e+01 6.476911e-01
2.114050e+01 6.254901e-01
2.138950e+01 6.093941e-01
2.163850e+01 6.039656e-01
2.188750e+01 6.114945e-01
2.213650e+01 6.334488e-01
2.238550e+01 6.653837e-01
2.263450e+01 7.107372e-01
2.288350e+01 7.664591e-01
2.313250e+01 8.247991e-01
2.338150e+01 8.907049e-01
2.363050e+01 9.463618e-01
2.387950e+01 9.881217e-01
2.412850e+01 1.007970e+00
2.437750e+01 1.001324e+00
2.462650e+01 9.673852e-01
2.487550e+01 9.293820e-01
