# k          S(k)
4.735000e-01 nan
7.225000e-01 1.174961e-02
9.715000e-01 1.090384e-02
1.220500e+00 1.252079e-02
1.469500e+00 1.330909e-02
1.718500e+00 1.341016e-02
1.967500e+00 1.613290e-02
2.216500e+00 1.792210e-02
2.465500e+00 2.049252e-02
2.714500e+00 2.407320e-02
2.963500e+00 2.861798e-02
3.212500e+00 3.425653e-02
3.461500e+00 3.715286e-02
3.710500e+00 4.633300e-02
3.959500e+00 5.906707e-02
4.208500e+00 7.695378e-02
4.457500e+00 9.545474e-02
4.706500e+00 1.229767e-01
4.955500e+00 1.505218e-01
5.204500e+00 1.986368e-01
5.453500e+00 2.637106e-01
5.702500e+00 3.579240e-01
5.951500e+00 4.870496e-01
6.200500e+00 6.714377e-01
6.449500e+00 9.069760e-01
6.698500e+00 1.373720e+00
6.947500e+00 1.942051e+00
7.196500e+00 2.356909e+00
7.445499e+00 2.161991e+00
7.694500e+00 1.630678e+00
7.943500e+00 1.111462e+00
8.192500e+00 8.282259e-01
8.441500e+00 6.439463e-01
8.690500e+00 5.301575e-01
8.939501e+00 4.498095e-01
9.188500e+00 4.135811e-01
9.437500e+00 3.849576e-01
9.686501e+00 3.745362e-01
9.935500e+00 3.798678e-01
1.018450e+01 4.020721e-01
1.043350e+01 4.332738e-01
1.068250e+01 4.802397e-01
1.093150e+01 5.420898e-01
1.118050e+01 6.236721e-01
1.142950e+01 7.318008e-01
1.167850e+01 8.506790e-01
1.192750e+01 9.671819e-01
1.217650e+01 1.069281e+00
1.242550e+01 1.143730e+00
1.267450e+01 1.147279e+00
1.292350e+01 1.115764e+00
1.317250e+01 1.054711e+00
1.342150e+01 1.003261e+00
1.367050e+01 9.512649e-01
1.391950e+01 8.963858e-01
1.416850e+01 8.531537e-01
1.441750e+01 8.103733e-01
1.466650e+01 7.630835e-01
1.491550e+01 7.236328e-01
1.516450e+01 6.887454e-01
1.541350e+01 6.540717e-01
1.566250e+01 6.322452e-01
1.591150e+01 6.220797e-01
1.616050e+01 6.221440e-01
1.640950e+01 6.332989e-01
1.665850e+01 6.502938e-01
1.690750e+01 6.811268e-01
1.715650e+01 7.158638e-01
1.740550e+01 7.633818e-01
1.765450e+01 8.070118e-01
1.790350e+01 8.573138e-01
1.815250e+01 8.969458e-01
1.840150e+01 9.259455e-01
1.865050e+01 9.455096e-01
1.889950e+01 9.440395e-01
1.914850e+01 9.376532e-01
1.939750e+01 9.179993e-01
1.964650e+01 8.939415e-01
1.989550e+01 8.645009e-01
2.014450e+01 8.412283e-01
2.039350e+01 8.117549e-01
2.064250e+01 7.840488e-01
2.089150e+01 7.607957e-01
2.114050e+01 7.451279e-01
2.138950e+01 7.289848e-01
2.163850e+01 7.184000e-01
2.188750e+01 7.161047e-01
2.213650e+01 7.127330e-01
2.238550e+01 7.166596e-01
2.263450e+01 7.302653e-01
2.288350e+01 7.412322e-01
2.313250e+01 7.611256e-01
2.338150e+01 7.790180e-01
2.363050e+01 7.983212e-01
2.387950e+01 8.166001e-01
2.412850e+01 8.351381e-01
2.437750e+01 8.497332e-01
2.462650e+01 8.598276e-01
2.487550e+01 8.655235e-01
