# r          S(k)
4.735000e-01 nan
7.225000e-01 -8.362376e-03
9.715000e-01 -9.172281e-03
1.220500e+00 -9.555262e-03
1.469500e+00 -1.064781e-02
1.718500e+00 -1.159960e-02
1.967500e+00 -1.309867e-02
2.216500e+00 -1.533849e-02
2.465500e+00 -1.793864e-02
2.714500e+00 -2.118976e-02
2.963500e+00 -2.589582e-02
3.212500e+00 -3.034753e-02
3.461500e+00 -3.574282e-02
3.710500e+00 -4.385271e-02
3.959500e+00 -5.817651e-02
4.208500e+00 -7.591774e-02
4.457500e+00 -9.301366e-02
4.706500e+00 -1.167234e-01
4.955500e+00 -1.380484e-01
5.204500e+00 -1.727298e-01
5.453500e+00 -2.071131e-01
5.702500e+00 -2.418808e-01
5.951500e+00 -2.761815e-01
6.200500e+00 -3.027996e-01
6.449500e+00 -3.194957e-01
6.698500e+00 -2.838673e-01
6.947500e+00 -1.652907e-01
7.196500e+00 8.003683e-02
7.445499e+00 2.881518e-01
7.694500e+00 3.293227e-01
7.943500e+00 2.822535e-01
8.192500e+00 2.284946e-01
8.441500e+00 1.812190e-01
8.690500e+00 1.436796e-01
8.939501e+00 1.150309e-01
9.188500e+00 9.193699e-02
9.437500e+00 7.249696e-02
9.686501e+00 5.636748e-02
9.935500e+00 3.590332e-02
1.018450e+01 1.790813e-02
1.043350e+01 -1.032485e-03
1.068250e+01 -2.237318e-02
1.093150e+01 -4.518389e-02
1.118050e+01 -7.052404e-02
1.142950e+01 -1.003093e-01
1.167850e+01 -1.261540e-01
1.192750e+01 -1.446825e-01
1.217650e+01 -1.476204e-01
1.242550e+01 -1.289907e-01
1.267450e+01 -9.355833e-02
1.292350e+01 -5.929379e-02
1.317250e+01 -2.850371e-02
1.342150e+01 -6.349060e-03
1.367050e+01 6.571775e-03
1.391950e+01 1.423881e-02
1.416850e+01 2.199705e-02
1.441750e+01 3.090106e-02
1.466650e+01 4.362597e-02
1.491550e+01 5.676695e-02
1.516450e+01 6.562459e-02
1.541350e+01 7.285014e-02
1.566250e+01 7.842629e-02
1.591150e+01 8.032026e-02
1.616050e+01 7.771887e-02
1.640950e+01 7.219873e-02
1.665850e+01 6.534804e-02
1.690750e+01 5.198962e-02
1.715650e+01 3.805928e-02
1.740550e+01 1.396626e-02
1.765450e+01 -1.158431e-02
1.790350e+01 -4.239601e-02
1.815250e+01 -6.732886e-02
1.840150e+01 -8.720095e-02
1.865050e+01 -9.403930e-02
1.889950e+01 -9.187182e-02
1.914850e+01 -8.131728e-02
1.939750e+01 -6.249518e-02
1.964650e+01 -4.594878e-02
1.989550e+01 -3.064478e-02
2.014450e+01 -1.851460e-02
2.039350e+01 -7.001252e-03
2.064250e+01 3.034618e-03
2.089150e+01 1.123213e-02
2.114050e+01 1.796263e-02
2.138950e+01 2.287053e-02
2.163850e+01 2.819153e-02
2.188750e+01 3.354853e-02
2.213650e+01 3.978572e-02
2.238550e+01 4.520294e-02
2.263450e+01 4.850772e-02
2.288350e+01 5.204628e-02
2.313250e+01 5.169087e-02
2.338150e+01 4.867026e-02
2.363050e+01 4.042019e-02
2.387950e+01 2.853653e-02
2.412850e+01 1.519160e-02
2.437750e+01 -1.552817e-04
2.462650e+01 -1.608687e-02
2.487550e+01 -2.946163e-02
