# k          S(k)
4.735000e-01 nan
7.225000e-01 -1.483249e-02
9.715000e-01 -1.326353e-02
1.220500e+00 -1.532362e-02
1.469500e+00 -1.775917e-02
1.718500e+00 -1.792509e-02
1.967500e+00 -2.133563e-02
2.216500e+00 -2.341956e-02
2.465500e+00 -2.690583e-02
2.714500e+00 -3.194171e-02
2.963500e+00 -3.777754e-02
3.212500e+00 -4.465338e-02
3.461500e+00 -4.868799e-02
3.710500e+00 -5.923394e-02
3.959500e+00 -7.295916e-02
4.208500e+00 -8.980639e-02
4.457500e+00 -1.053905e-01
4.706500e+00 -1.245335e-01
4.955500e+00 -1.404857e-01
5.204500e+00 -1.661191e-01
5.453500e+00 -1.910221e-01
5.702500e+00 -2.138432e-01
5.951500e+00 -2.360292e-01
6.200500e+00 -2.477288e-01
6.449500e+00 -2.464109e-01
6.698500e+00 -2.084610e-01
6.947500e+00 -1.051082e-01
7.196500e+00 8.160435e-02
7.445499e+00 2.290984e-01
7.694500e+00 2.616042e-01
7.943500e+00 2.257377e-01
8.192500e+00 1.866647e-01
8.441500e+00 1.506855e-01
8.690500e+00 1.190784e-01
8.939501e+00 9.178030e-02
9.188500e+00 7.504372e-02
9.437500e+00 5.534917e-02
9.686501e+00 4.020633e-02
9.935500e+00 2.409563e-02
1.018450e+01 1.035295e-02
1.043350e+01 -6.849953e-03
1.068250e+01 -2.178919e-02
1.093150e+01 -3.653748e-02
1.118050e+01 -5.237861e-02
1.142950e+01 -6.890487e-02
1.167850e+01 -8.220147e-02
1.192750e+01 -9.064738e-02
1.217650e+01 -9.217499e-02
1.242550e+01 -8.694143e-02
1.267450e+01 -6.705986e-02
1.292350e+01 -4.956992e-02
1.317250e+01 -3.323288e-02
1.342150e+01 -1.766200e-02
1.367050e+01 -3.868402e-03
1.391950e+01 4.177129e-03
1.416850e+01 1.390567e-02
1.441750e+01 2.239175e-02
1.466650e+01 2.903480e-02
1.491550e+01 3.651729e-02
1.516450e+01 4.308295e-02
1.541350e+01 4.601415e-02
1.566250e+01 4.856784e-02
1.591150e+01 4.794256e-02
1.616050e+01 4.503386e-02
1.640950e+01 4.098038e-02
1.665850e+01 3.518427e-02
1.690750e+01 2.863804e-02
1.715650e+01 2.007387e-02
1.740550e+01 8.973232e-03
1.765450e+01 -5.695733e-04
1.790350e+01 -1.172149e-02
1.815250e+01 -2.076844e-02
1.840150e+01 -2.923033e-02
1.865050e+01 -3.550584e-02
1.889950e+01 -3.830671e-02
1.914850e+01 -3.650403e-02
1.939750e+01 -3.541909e-02
1.964650e+01 -3.063394e-02
1.989550e+01 -2.599532e-02
2.014450e+01 -1.979725e-02
2.039350e+01 -1.556088e-02
2.064250e+01 -1.026086e-02
2.089150e+01 -4.530231e-03
2.114050e+01 -3.546512e-04
2.138950e+01 4.102108e-03
2.163850e+01 7.757504e-03
2.188750e+01 1.184966e-02
2.213650e+01 1.486907e-02
2.238550e+01 1.811232e-02
2.263450e+01 2.091581e-02
2.288350e+01 2.069225e-02
2.313250e+01 2.181812e-02
2.338150e+01 2.082251e-02
2.363050e+01 2.012859e-02
2.387950e+01 1.703650e-02
2.412850e+01 1.407106e-02
2.437750e+01 9.029025e-03
2.462650e+01 5.199422e-03
2.487550e+01 -1.434756e-04
