# k          S(k)
4.735000e-01 nan
7.225000e-01 -2.342618e-02
9.715000e-01 -2.607016e-02
1.220500e+00 -3.040552e-02
1.469500e+00 -2.856413e-02
1.718500e+00 -3.027859e-02
1.967500e+00 -3.188798e-02
2.216500e+00 -3.523663e-02
2.465500e+00 -4.045175e-02
2.714500e+00 -4.544922e-02
2.963500e+00 -5.223808e-02
3.212500e+00 -5.804303e-02
3.461500e+00 -6.271103e-02
3.710500e+00 -7.059992e-02
3.959500e+00 -8.338210e-02
4.208500e+00 -9.748179e-02
4.457500e+00 -1.091434e-01
4.706500e+00 -1.248213e-01
4.955500e+00 -1.352217e-01
5.204500e+00 -1.506352e-01
5.453500e+00 -1.669402e-01
5.702500e+00 -1.791530e-01
5.951500e+00 -1.866718e-01
6.200500e+00 -1.882329e-01
6.449500e+00 -1.746841e-01
6.698500e+00 -1.317937e-01
6.947500e+00 -5.829211e-02
7.196500e+00 4.187313e-02
7.445499e+00 1.313478e-01
7.694500e+00 1.662064e-01
7.943500e+00 1.645926e-01
8.192500e+00 1.468515e-01
8.441500e+00 1.237298e-01
8.690500e+00 1.032389e-01
8.939501e+00 8.382651e-02
9.188500e+00 6.458675e-02
9.437500e+00 5.056324e-02
9.686501e+00 3.769092e-02
9.935500e+00 2.486820e-02
1.018450e+01 1.278088e-02
1.043350e+01 6.744158e-04
1.068250e+01 -9.662836e-03
1.093150e+01 -2.102698e-02
1.118050e+01 -2.671972e-02
1.142950e+01 -3.761012e-02
1.167850e+01 -4.338703e-02
1.192750e+01 -5.263402e-02
1.217650e+01 -5.558390e-02
1.242550e+01 -5.545484e-02
1.267450e+01 -5.296177e-02
1.292350e+01 -4.929130e-02
1.317250e+01 -4.118877e-02
1.342150e+01 -3.140710e-02
1.367050e+01 -2.125805e-02
1.391950e+01 -1.135874e-02
1.416850e+01 -2.456062e-03
1.441750e+01 6.769299e-03
1.466650e+01 1.307942e-02
1.491550e+01 1.928508e-02
1.516450e+01 2.483679e-02
1.541350e+01 2.874050e-02
1.566250e+01 3.013061e-02
1.591150e+01 3.069494e-02
1.616050e+01 2.968028e-02
1.640950e+01 2.806571e-02
1.665850e+01 2.763438e-02
1.690750e+01 2.403600e-02
1.715650e+01 1.902215e-02
1.740550e+01 1.477009e-02
1.765450e+01 9.378565e-03
1.790350e+01 4.734352e-03
1.815250e+01 -6.151393e-04
1.840150e+01 -6.310702e-03
1.865050e+01 -9.423351e-03
1.889950e+01 -1.244654e-02
1.914850e+01 -1.652368e-02
1.939750e+01 -1.889425e-02
1.964650e+01 -2.008290e-02
1.989550e+01 -1.983547e-02
2.014450e+01 -1.892789e-02
2.039350e+01 -1.658740e-02
2.064250e+01 -1.498049e-02
2.089150e+01 -1.230945e-02
2.114050e+01 -9.443690e-03
2.138950e+01 -6.977284e-03
2.163850e+01 -4.004324e-03
2.188750e+01 -8.550674e-06
2.213650e+01 2.619477e-03
2.238550e+01 4.035315e-03
2.263450e+01 6.753937e-03
2.288350e+01 8.966573e-03
2.313250e+01 9.806219e-03
2.338150e+01 1.115100e-02
2.363050e+01 1.115569e-02
2.387950e+01 1.138309e-02
2.412850e+01 1.238901e-02
2.437750e+01 9.319089e-03
2.462650e+01 8.841341e-03
2.487550e+01 7.718815e-03
