# k          S(k)
4.735000e-01 nan
7.225000e-01 2.452346e-02
9.715000e-01 2.533500e-02
1.220500e+00 2.676377e-02
1.469500e+00 2.815090e-02
1.718500e+00 2.868605e-02
1.967500e+00 3.118753e-02
2.216500e+00 3.426884e-02
2.465500e+00 3.856321e-02
2.714500e+00 4.519320e-02
2.963500e+00 5.187739e-02
3.212500e+00 5.768701e-02
3.461500e+00 6.407281e-02
3.710500e+00 7.472750e-02
3.959500e+00 9.235322e-02
4.208500e+00 1.151359e-01
4.457500e+00 1.369291e-01
4.706500e+00 1.697967e-01
4.955500e+00 2.022770e-01
5.204500e+00 2.493299e-01
5.453500e+00 3.227982e-01
5.702500e+00 4.214670e-01
5.951500e+00 5.540721e-01
6.200500e+00 7.356938e-01
6.449500e+00 9.282835e-01
6.698500e+00 1.285318e+00
6.947500e+00 1.608095e+00
7.196500e+00 1.813823e+00
7.445499e+00 1.792186e+00
7.694500e+00 1.538039e+00
7.943500e+00 1.199605e+00
8.192500e+00 9.845426e-01
8.441500e+00 8.079975e-01
8.690500e+00 6.911041e-01
8.939501e+00 6.120312e-01
9.188500e+00 5.560962e-01
9.437500e+00 5.177910e-01
9.686501e+00 4.994856e-01
9.935500e+00 4.938817e-01
1.018450e+01 4.946848e-01
1.043350e+01 5.193816e-01
1.068250e+01 5.408742e-01
1.093150e+01 5.791354e-01
1.118050e+01 6.259649e-01
1.142950e+01 6.821648e-01
1.167850e+01 7.369982e-01
1.192750e+01 8.057671e-01
1.217650e+01 8.693570e-01
1.242550e+01 9.244840e-01
1.267450e+01 9.611674e-01
1.292350e+01 9.920711e-01
1.317250e+01 1.006410e+00
1.342150e+01 9.997040e-01
1.367050e+01 9.792469e-01
1.391950e+01 9.483247e-01
1.416850e+01 9.156781e-01
1.441750e+01 8.840595e-01
1.466650e+01 8.454926e-01
1.491550e+01 8.103070e-01
1.516450e+01 7.758564e-01
1.541350e+01 7.424256e-01
1.566250e+01 7.182956e-01
1.591150e+01 7.060995e-01
1.616050e+01 6.941020e-01
1.640950e+01 6.898211e-01
1.665850e+01 6.868039e-01
1.690750e+01 6.970525e-01
1.715650e+01 7.073551e-01
1.740550e+01 7.270384e-01
1.765450e+01 7.479836e-01
1.790350e+01 7.655110e-01
1.815250e+01 7.897817e-01
1.840150e+01 8.140817e-01
1.865050e+01 8.327094e-01
1.889950e+01 8.560005e-01
1.914850e+01 8.683518e-01
1.939750e+01 8.754595e-01
1.964650e+01 8.754887e-01
1.989550e+01 8.745923e-01
2.014450e+01 8.630182e-01
2.039350e+01 8.600491e-01
2.064250e+01 8.458763e-01
2.089150e+01 8.283122e-01
2.114050e+01 8.127677e-01
2.138950e+01 7.987726e-01
2.163850e+01 7.899216e-01
2.188750e+01 7.738883e-01
2.213650e+01 7.676084e-01
2.238550e+01 7.607600e-01
2.263450e+01 7.537102e-01
2.288350e+01 7.541733e-01
2.313250e+01 7.563437e-01
2.338150e+01 7.594134e-01
2.363050e+01 7.631949e-01
2.387950e+01 7.698084e-01
2.412850e+01 7.774789e-01
2.437750e+01 7.888414e-01
2.462650e+01 7.959250e-01
2.487550e+01 8.045319e-01
