# r          S(k)
4.735000e-01 nan
7.225000e-01 3.331589e-03
9.715000e-01 3.483739e-03
1.220500e+00 3.888114e-03
1.469500e+00 4.235121e-03
1.718500e+00 4.513080e-03
1.967500e+00 5.369661e-03
2.216500e+00 5.954312e-03
2.465500e+00 7.271621e-03
2.714500e+00 9.241730e-03
2.963500e+00 1.138102e-02
3.212500e+00 1.348598e-02
3.461500e+00 1.618255e-02
3.710500e+00 2.119298e-02
3.959500e+00 3.004703e-02
4.208500e+00 4.260580e-02
4.457500e+00 5.813107e-02
4.706500e+00 8.141268e-02
4.955500e+00 1.081226e-01
5.204500e+00 1.503144e-01
5.453500e+00 2.162779e-01
5.702500e+00 3.137516e-01
5.951500e+00 4.403039e-01
6.200500e+00 6.430566e-01
6.449500e+00 8.976690e-01
6.698500e+00 1.465916e+00
6.947500e+00 2.179611e+00
7.196500e+00 2.757168e+00
7.445499e+00 2.464576e+00
7.694500e+00 1.719521e+00
7.943500e+00 1.051249e+00
8.192500e+00 7.298197e-01
8.441500e+00 5.264164e-01
8.690500e+00 4.107633e-01
8.939501e+00 3.364170e-01
9.188500e+00 2.996452e-01
9.437500e+00 2.763620e-01
9.686501e+00 2.683446e-01
9.935500e+00 2.769331e-01
1.018450e+01 2.932630e-01
1.043350e+01 3.354231e-01
1.068250e+01 3.893318e-01
1.093150e+01 4.691554e-01
1.118050e+01 5.845196e-01
1.142950e+01 7.526736e-01
1.167850e+01 9.307109e-01
1.192750e+01 1.144393e+00
1.217650e+01 1.315352e+00
1.242550e+01 1.409687e+00
1.267450e+01 1.370844e+00
1.292350e+01 1.254459e+00
1.317250e+01 1.126391e+00
1.342150e+01 9.975424e-01
1.367050e+01 9.039314e-01
1.391950e+01 8.342969e-01
1.416850e+01 7.765606e-01
1.441750e+01 7.299035e-01
1.466650e+01 6.737205e-01
1.491550e+01 6.228972e-01
1.516450e+01 5.752332e-01
1.541350e+01 5.387641e-01
1.566250e+01 5.191265e-01
1.591150e+01 5.150689e-01
1.616050e+01 5.222431e-01
1.640950e+01 5.510129e-01
1.665850e+01 5.928451e-01
1.690750e+01 6.577788e-01
1.715650e+01 7.353377e-01
1.740550e+01 8.402590e-01
1.765450e+01 9.385685e-01
1.790350e+01 1.038573e+00
1.815250e+01 1.106201e+00
1.840150e+01 1.125859e+00
1.865050e+01 1.104216e+00
1.889950e+01 1.043056e+00
1.914850e+01 9.798032e-01
1.939750e+01 9.112604e-01
1.964650e+01 8.580361e-01
1.989550e+01 8.106704e-01
2.014450e+01 7.670675e-01
2.039350e+01 7.258960e-01
2.064250e+01 6.869824e-01
2.089150e+01 6.534706e-01
2.114050e+01 6.288294e-01
2.138950e+01 6.161820e-01
2.163850e+01 6.111605e-01
2.188750e+01 6.169666e-01
2.213650e+01 6.339441e-01
2.238550e+01 6.602809e-01
2.263450e+01 7.082866e-01
2.288350e+01 7.556502e-01
2.313250e+01 8.160558e-01
2.338150e+01 8.762721e-01
2.363050e+01 9.337845e-01
2.387950e+01 9.756176e-01
2.412850e+01 9.969067e-01
2.437750e+01 9.955039e-01
2.462650e+01 9.743448e-01
2.487550e+01 9.329486e-01
