# k          S(k)
4.735000e-01 nan
7.225000e-01 6.641611e-03
9.715000e-01 6.914216e-03
1.220500e+00 7.908124e-03
1.469500e+00 8.152989e-03
1.718500e+00 8.839291e-03
1.967500e+00 1.023724e-02
2.216500e+00 1.109901e-02
2.465500e+00 1.348325e-02
2.714500e+00 1.616885e-02
2.963500e+00 1.921465e-02
3.212500e+00 2.214533e-02
3.461500e+00 2.551081e-02
3.710500e+00 3.330613e-02
3.959500e+00 4.397015e-02
4.208500e+00 5.828604e-02
4.457500e+00 7.652078e-02
4.706500e+00 1.029824e-01
4.955500e+00 1.285131e-01
5.204500e+00 1.753953e-01
5.453500e+00 2.388762e-01
5.702500e+00 3.333417e-01
5.951500e+00 4.562086e-01
6.200500e+00 6.451584e-01
6.449500e+00 8.853374e-01
6.698500e+00 1.415864e+00
6.947500e+00 2.069610e+00
7.196500e+00 2.641845e+00
7.445499e+00 2.388260e+00
7.694500e+00 1.673622e+00
7.943500e+00 1.046957e+00
8.192500e+00 7.546577e-01
8.441500e+00 5.619603e-01
8.690500e+00 4.509381e-01
8.939501e+00 3.830819e-01
9.188500e+00 3.432495e-01
9.437500e+00 3.245325e-01
9.686501e+00 3.169391e-01
9.935500e+00 3.261125e-01
1.018450e+01 3.502320e-01
1.043350e+01 3.862906e-01
1.068250e+01 4.400165e-01
1.093150e+01 5.148113e-01
1.118050e+01 6.166132e-01
1.142950e+01 7.558770e-01
1.167850e+01 9.108068e-01
1.192750e+01 1.079176e+00
1.217650e+01 1.213115e+00
1.242550e+01 1.274603e+00
1.267450e+01 1.254094e+00
1.292350e+01 1.173091e+00
1.317250e+01 1.064604e+00
1.342150e+01 9.720720e-01
1.367050e+01 8.984958e-01
1.391950e+01 8.490927e-01
1.416850e+01 8.082712e-01
1.441750e+01 7.701458e-01
1.466650e+01 7.237937e-01
1.491550e+01 6.841247e-01
1.516450e+01 6.370162e-01
1.541350e+01 6.095046e-01
1.566250e+01 5.887155e-01
1.591150e+01 5.825530e-01
1.616050e+01 5.857387e-01
1.640950e+01 6.056381e-01
1.665850e+01 6.340452e-01
1.690750e+01 6.808424e-01
1.715650e+01 7.334625e-01
1.740550e+01 8.025888e-01
1.765450e+01 8.730322e-01
1.790350e+01 9.387046e-01
1.815250e+01 9.854063e-01
1.840150e+01 1.007022e+00
1.865050e+01 1.002297e+00
1.889950e+01 9.721146e-01
1.914850e+01 9.426835e-01
1.939750e+01 9.034522e-01
1.964650e+01 8.719990e-01
1.989550e+01 8.381129e-01
2.014450e+01 8.045586e-01
2.039350e+01 7.731497e-01
2.064250e+01 7.456626e-01
2.089150e+01 7.192835e-01
2.114050e+01 7.017325e-01
2.138950e+01 6.891343e-01
2.163850e+01 6.853892e-01
2.188750e+01 6.824338e-01
2.213650e+01 6.923061e-01
2.238550e+01 7.049422e-01
2.263450e+01 7.273505e-01
2.288350e+01 7.535931e-01
2.313250e+01 7.812375e-01
2.338150e+01 8.141279e-01
2.363050e+01 8.458230e-01
2.387950e+01 8.686205e-01
2.412850e+01 8.881303e-01
2.437750e+01 8.954268e-01
2.462650e+01 8.966553e-01
2.487550e+01 8.906215e-01
