# k          S(k)
4.735000e-01 nan
7.225000e-01 1.059627e-01
9.715000e-01 1.018024e-01
1.220500e+00 1.137188e-01
1.469500e+00 1.087010e-01
1.718500e+00 1.106268e-01
1.967500e+00 1.221117e-01
2.216500e+00 1.242889e-01
2.465500e+00 1.284053e-01
2.714500e+00 1.359458e-01
2.963500e+00 1.453893e-01
3.212500e+00 1.494214e-01
3.461500e+00 1.547947e-01
3.710500e+00 1.635899e-01
3.959500e+00 1.719395e-01
4.208500e+00 1.811662e-01
4.457500e+00 1.904160e-01
4.706500e+00 1.966653e-01
4.955500e+00 1.995669e-01
5.204500e+00 2.041989e-01
5.453500e+00 2.047763e-01
5.702500e+00 2.041707e-01
5.951500e+00 2.024727e-01
6.200500e+00 1.992172e-01
6.449500e+00 1.950358e-01
6.698500e+00 1.920915e-01
6.947500e+00 1.893975e-01
7.196500e+00 1.928806e-01
7.445499e+00 1.994383e-01
7.694500e+00 2.078033e-01
7.943500e+00 2.115463e-01
8.192500e+00 2.141299e-01
8.441500e+00 2.133729e-01
8.690500e+00 2.114013e-01
8.939501e+00 2.085806e-01
9.188500e+00 2.056749e-01
9.437500e+00 2.051461e-01
9.686501e+00 2.033942e-01
9.935500e+00 2.008361e-01
1.018450e+01 1.974403e-01
1.043350e+01 1.981890e-01
1.068250e+01 1.958780e-01
1.093150e+01 1.960615e-01
1.118050e+01 1.949011e-01
1.142950e+01 1.948461e-01
1.167850e+01 1.951872e-01
1.192750e+01 1.961313e-01
1.217650e+01 1.981137e-01
1.242550e+01 1.973922e-01
1.267450e+01 1.981252e-01
1.292350e+01 1.976154e-01
1.317250e+01 1.979776e-01
1.342150e+01 1.991575e-01
1.367050e+01 1.993941e-01
1.391950e+01 1.998547e-01
1.416850e+01 2.005965e-01
1.441750e+01 2.006975e-01
1.466650e+01 2.013755e-01
1.491550e+01 2.011985e-01
1.516450e+01 2.005156e-01
1.541350e+01 2.005990e-01
1.566250e+01 2.023578e-01
1.591150e+01 2.015772e-01
1.616050e+01 2.022635e-01
1.640950e+01 2.020092e-01
1.665850e+01 2.017215e-01
1.690750e+01 2.018380e-01
1.715650e+01 2.008028e-01
1.740550e+01 2.007143e-01
1.765450e+01 1.996775e-01
1.790350e+01 1.999376e-01
1.815250e+01 1.996812e-01
1.840150e+01 1.989983e-01
1.865050e+01 1.993723e-01
1.889950e+01 2.002674e-01
1.914850e+01 1.982932e-01
1.939750e+01 1.989220e-01
1.964650e+01 1.986786e-01
1.989550e+01 1.991464e-01
2.014450e+01 1.997571e-01
2.039350e+01 1.996854e-01
2.064250e+01 1.988479e-01
2.089150e+01 2.004180e-01
2.114050e+01 1.998469e-01
2.138950e+01 1.990523e-01
2.163850e+01 1.999436e-01
2.188750e+01 1.993432e-01
2.213650e+01 1.998912e-01
2.238550e+01 2.005037e-01
2.263450e+01 2.003340e-01
2.288350e+01 2.002348e-01
2.313250e+01 2.000919e-01
2.338150e+01 2.006195e-01
2.363050e+01 2.002923e-01
2.387950e+01 2.009430e-01
2.412850e+01 2.006003e-01
2.437750e+01 1.999594e-01
2.462650e+01 2.006511e-01
2.487550e+01 2.001101e-01
