# r          S(k)
4.735000e-01 nan
7.225000e-01 -1.397171e-02
9.715000e-01 -1.380601e-02
1.220500e+00 -1.420810e-02
1.469500e+00 -1.449509e-02
1.718500e+00 -1.574324e-02
1.967500e+00 -1.675847e-02
2.216500e+00 -1.767033e-02
2.465500e+00 -2.018824e-02
2.714500e+00 -2.404376e-02
2.963500e+00 -2.884374e-02
3.212500e+00 -3.271660e-02
3.461500e+00 -3.742099e-02
3.710500e+00 -4.587034e-02
3.959500e+00 -5.718324e-02
4.208500e+00 -7.352000e-02
4.457500e+00 -8.734308e-02
4.706500e+00 -1.089745e-01
4.955500e+00 -1.276581e-01
5.204500e+00 -1.582011e-01
5.453500e+00 -1.905999e-01
5.702500e+00 -2.318903e-01
5.951500e+00 -2.690993e-01
6.200500e+00 -3.049011e-01
6.449500e+00 -3.209463e-01
6.698500e+00 -2.849860e-01
6.947500e+00 -1.606072e-01
7.196500e+00 5.320200e-02
7.445499e+00 2.372648e-01
7.694500e+00 3.001737e-01
7.943500e+00 2.788785e-01
8.192500e+00 2.361951e-01
8.441500e+00 1.913992e-01
8.690500e+00 1.544231e-01
8.939501e+00 1.244286e-01
9.188500e+00 9.862377e-02
9.437500e+00 7.655314e-02
9.686501e+00 5.894471e-02
9.935500e+00 3.873687e-02
1.018450e+01 2.138482e-02
1.043350e+01 1.421357e-03
1.068250e+01 -1.707976e-02
1.093150e+01 -3.865176e-02
1.118050e+01 -6.515985e-02
1.142950e+01 -9.058718e-02
1.167850e+01 -1.157502e-01
1.192750e+01 -1.368274e-01
1.217650e+01 -1.440155e-01
1.242550e+01 -1.357886e-01
1.267450e+01 -1.061355e-01
1.292350e+01 -7.154875e-02
1.317250e+01 -3.962866e-02
1.342150e+01 -1.414934e-02
1.367050e+01 -5.865332e-04
1.391950e+01 1.273778e-02
1.416850e+01 2.207502e-02
1.441750e+01 3.136839e-02
1.466650e+01 4.333375e-02
1.491550e+01 5.443468e-02
1.516450e+01 6.405353e-02
1.541350e+01 7.289118e-02
1.566250e+01 7.691222e-02
1.591150e+01 8.081362e-02
1.616050e+01 7.951668e-02
1.640950e+01 7.389732e-02
1.665850e+01 6.696359e-02
1.690750e+01 5.406795e-02
1.715650e+01 4.063088e-02
1.740550e+01 1.833049e-02
1.765450e+01 -5.580636e-03
1.790350e+01 -3.372741e-02
1.815250e+01 -5.810044e-02
1.840150e+01 -7.888459e-02
1.865050e+01 -9.124129e-02
1.889950e+01 -9.152067e-02
1.914850e+01 -8.209475e-02
1.939750e+01 -6.770550e-02
1.964650e+01 -5.114295e-02
1.989550e+01 -3.644036e-02
2.014450e+01 -2.295999e-02
2.039350e+01 -1.107480e-02
2.064250e+01 -7.694109e-04
2.089150e+01 7.709892e-03
2.114050e+01 1.381087e-02
2.138950e+01 1.972940e-02
2.163850e+01 2.602481e-02
2.188750e+01 3.160127e-02
2.213650e+01 3.701888e-02
2.238550e+01 4.249005e-02
2.263450e+01 4.825415e-02
2.288350e+01 5.168600e-02
2.313250e+01 5.219607e-02
2.338150e+01 4.957992e-02
2.363050e+01 4.409650e-02
2.387950e+01 3.405292e-02
2.412850e+01 2.176120e-02
2.437750e+01 7.391145e-03
2.462650e+01 -9.912783e-03
2.487550e+01 -2.285079e-02
