# r          S(k)
4.735000e-01 nan
7.225000e-01 7.104044e-02
9.715000e-01 7.055197e-02
1.220500e+00 7.399751e-02
1.469500e+00 8.049041e-02
1.718500e+00 8.367117e-02
1.967500e+00 8.677930e-02
2.216500e+00 9.050226e-02
2.465500e+00 9.459066e-02
2.714500e+00 1.037567e-01
2.963500e+00 1.128126e-01
3.212500e+00 1.196808e-01
3.461500e+00 1.297261e-01
3.710500e+00 1.431703e-01
3.959500e+00 1.611370e-01
4.208500e+00 1.789029e-01
4.457500e+00 1.944744e-01
4.706500e+00 2.129823e-01
4.955500e+00 2.265683e-01
5.204500e+00 2.430658e-01
5.453500e+00 2.526753e-01
5.702500e+00 2.553129e-01
5.951500e+00 2.488986e-01
6.200500e+00 2.325764e-01
6.449500e+00 2.097089e-01
6.698500e+00 1.722426e-01
6.947500e+00 1.423467e-01
7.196500e+00 1.397799e-01
7.445499e+00 1.723697e-01
7.694500e+00 2.042197e-01
7.943500e+00 2.209600e-01
8.192500e+00 2.197663e-01
8.441500e+00 2.177203e-01
8.690500e+00 2.111071e-01
8.939501e+00 2.060775e-01
9.188500e+00 2.017894e-01
9.437500e+00 1.974575e-01
9.686501e+00 1.938847e-01
9.935500e+00 1.923648e-01
1.018450e+01 1.929556e-01
1.043350e+01 1.939558e-01
1.068250e+01 1.973394e-01
1.093150e+01 2.002869e-01
1.118050e+01 2.041663e-01
1.142950e+01 2.062926e-01
1.167850e+01 2.079255e-01
1.192750e+01 2.052770e-01
1.217650e+01 2.044502e-01
1.242550e+01 1.983970e-01
1.267450e+01 1.911239e-01
1.292350e+01 1.873507e-01
1.317250e+01 1.872205e-01
1.342150e+01 1.902566e-01
1.367050e+01 1.949606e-01
1.391950e+01 1.997024e-01
1.416850e+01 2.043680e-01
1.441750e+01 2.076485e-01
1.466650e+01 2.095766e-01
1.491550e+01 2.108492e-01
1.516450e+01 2.098833e-01
1.541350e+01 2.084033e-01
1.566250e+01 2.068813e-01
1.591150e+01 2.042037e-01
1.616050e+01 2.020109e-01
1.640950e+01 1.977436e-01
1.665850e+01 1.944465e-01
1.690750e+01 1.913171e-01
1.715650e+01 1.892587e-01
1.740550e+01 1.884021e-01
1.765450e+01 1.899401e-01
1.790350e+01 1.934184e-01
1.815250e+01 1.975711e-01
1.840150e+01 2.030130e-01
1.865050e+01 2.066623e-01
1.889950e+01 2.076537e-01
1.914850e+01 2.069986e-01
1.939750e+01 2.056833e-01
1.964650e+01 2.037724e-01
1.989550e+01 2.011941e-01
2.014450e+01 1.990447e-01
2.039350e+01 1.982342e-01
2.064250e+01 1.965579e-01
2.089150e+01 1.971262e-01
2.114050e+01 1.972704e-01
2.138950e+01 1.985870e-01
2.163850e+01 1.987689e-01
2.188750e+01 2.010209e-01
2.213650e+01 2.021145e-01
2.238550e+01 2.024709e-01
2.263450e+01 2.037473e-01
2.288350e+01 2.034348e-01
2.313250e+01 2.010466e-01
2.338150e+01 2.015285e-01
2.363050e+01 1.989014e-01
2.387950e+01 1.977828e-01
2.412850e+01 1.968604e-01
2.437750e+01 1.957377e-01
2.462650e+01 1.962002e-01
2.487550e+01 1.977957e-01
