# k          S(k)
4.735000e-01 nan
7.225000e-01 6.416106e-02
9.715000e-01 6.766566e-02
1.220500e+00 7.335632e-02
1.469500e+00 7.134529e-02
1.718500e+00 7.243110e-02
1.967500e+00 7.780925e-02
2.216500e+00 7.956320e-02
2.465500e+00 8.781356e-02
2.714500e+00 9.622705e-02
2.963500e+00 1.069998e-01
3.212500e+00 1.126944e-01
3.461500e+00 1.217071e-01
3.710500e+00 1.397701e-01
3.959500e+00 1.598613e-01
4.208500e+00 1.813911e-01
4.457500e+00 2.025046e-01
4.706500e+00 2.273792e-01
4.955500e+00 2.363531e-01
5.204500e+00 2.524053e-01
5.453500e+00 2.595548e-01
5.702500e+00 2.621540e-01
5.951500e+00 2.472463e-01
6.200500e+00 2.301345e-01
6.449500e+00 2.079369e-01
6.698500e+00 1.708997e-01
6.947500e+00 1.385902e-01
7.196500e+00 1.395702e-01
7.445499e+00 1.764660e-01
7.694500e+00 2.077633e-01
7.943500e+00 2.175588e-01
8.192500e+00 2.146526e-01
8.441500e+00 2.106567e-01
8.690500e+00 2.033659e-01
8.939501e+00 1.998795e-01
9.188500e+00 1.964406e-01
9.437500e+00 1.944779e-01
9.686501e+00 1.951438e-01
9.935500e+00 1.961463e-01
1.018450e+01 1.986462e-01
1.043350e+01 2.025042e-01
1.068250e+01 2.028743e-01
1.093150e+01 2.053059e-01
1.118050e+01 2.063861e-01
1.142950e+01 2.070842e-01
1.167850e+01 2.060255e-01
1.192750e+01 2.044080e-01
1.217650e+01 1.997598e-01
1.242550e+01 1.949360e-01
1.267450e+01 1.901416e-01
1.292350e+01 1.894746e-01
1.317250e+01 1.899145e-01
1.342150e+01 1.946558e-01
1.367050e+01 1.972975e-01
1.391950e+01 2.017091e-01
1.416850e+01 2.043096e-01
1.441750e+01 2.053771e-01
1.466650e+01 2.064025e-01
1.491550e+01 2.060089e-01
1.516450e+01 2.069181e-01
1.541350e+01 2.042292e-01
1.566250e+01 2.030538e-01
1.591150e+01 2.024243e-01
1.616050e+01 1.998497e-01
1.640950e+01 1.988478e-01
1.665850e+01 1.967964e-01
1.690750e+01 1.954216e-01
1.715650e+01 1.937870e-01
1.740550e+01 1.937316e-01
1.765450e+01 1.960979e-01
1.790350e+01 1.975881e-01
1.815250e+01 1.995528e-01
1.840150e+01 2.018283e-01
1.865050e+01 2.033154e-01
1.889950e+01 2.031017e-01
1.914850e+01 2.028022e-01
1.939750e+01 2.023014e-01
1.964650e+01 2.018293e-01
1.989550e+01 2.000407e-01
2.014450e+01 2.000250e-01
2.039350e+01 1.990786e-01
2.064250e+01 1.993144e-01
2.089150e+01 1.984360e-01
2.114050e+01 1.987042e-01
2.138950e+01 1.988570e-01
2.163850e+01 1.999913e-01
2.188750e+01 2.002562e-01
2.213650e+01 2.000089e-01
2.238550e+01 2.013282e-01
2.263450e+01 2.007994e-01
2.288350e+01 2.009193e-01
2.313250e+01 2.009332e-01
2.338150e+01 2.003370e-01
2.363050e+01 1.999879e-01
2.387950e+01 1.986244e-01
2.412850e+01 1.994430e-01
2.437750e+01 1.992008e-01
2.462650e+01 1.994201e-01
2.487550e+01 1.990662e-01
