# r          S(k)
4.735000e-01 nan
7.225000e-01 5.730816e-03
9.715000e-01 5.476007e-03
1.220500e+00 6.161125e-03
1.469500e+00 6.351111e-03
1.718500e+00 6.686549e-03
1.967500e+00 7.543153e-03
2.216500e+00 8.511327e-03
2.465500e+00 9.684261e-03
2.714500e+00 1.199479e-02
2.963500e+00 1.452512e-02
3.212500e+00 1.645626e-02
3.461500e+00 1.945728e-02
3.710500e+00 2.488786e-02
3.959500e+00 3.399122e-02
4.208500e+00 4.632456e-02
4.457500e+00 6.117092e-02
4.706500e+00 8.245914e-02
4.955500e+00 1.068236e-01
5.204500e+00 1.525636e-01
5.453500e+00 2.190459e-01
5.702500e+00 3.215369e-01
5.951500e+00 4.695832e-01
6.200500e+00 6.894865e-01
6.449500e+00 9.832014e-01
6.698500e+00 1.543299e+00
6.947500e+00 2.130129e+00
7.196500e+00 2.442709e+00
7.445499e+00 2.251604e+00
7.694500e+00 1.697548e+00
7.943500e+00 1.139137e+00
8.192500e+00 8.167628e-01
8.441500e+00 6.000576e-01
8.690500e+00 4.678946e-01
8.939501e+00 3.827763e-01
9.188500e+00 3.349856e-01
9.437500e+00 3.044788e-01
9.686501e+00 2.942131e-01
9.935500e+00 2.952068e-01
1.018450e+01 3.110565e-01
1.043350e+01 3.449046e-01
1.068250e+01 3.951891e-01
1.093150e+01 4.670233e-01
1.118050e+01 5.662963e-01
1.142950e+01 7.066857e-01
1.167850e+01 8.715900e-01
1.192750e+01 1.059127e+00
1.217650e+01 1.241036e+00
1.242550e+01 1.344753e+00
1.267450e+01 1.367859e+00
1.292350e+01 1.287982e+00
1.317250e+01 1.170544e+00
1.342150e+01 1.054912e+00
1.367050e+01 9.461983e-01
1.391950e+01 8.644909e-01
1.416850e+01 7.917419e-01
1.441750e+01 7.327320e-01
1.466650e+01 6.753809e-01
1.491550e+01 6.269698e-01
1.516450e+01 5.853261e-01
1.541350e+01 5.540559e-01
1.566250e+01 5.330114e-01
1.591150e+01 5.244611e-01
1.616050e+01 5.356494e-01
1.640950e+01 5.565442e-01
1.665850e+01 5.906113e-01
1.690750e+01 6.453453e-01
1.715650e+01 7.106985e-01
1.740550e+01 8.009694e-01
1.765450e+01 8.890077e-01
1.790350e+01 9.893394e-01
1.815250e+01 1.058754e+00
1.840150e+01 1.108384e+00
1.865050e+01 1.115300e+00
1.889950e+01 1.074814e+00
1.914850e+01 1.013537e+00
1.939750e+01 9.453877e-01
1.964650e+01 8.821041e-01
1.989550e+01 8.283198e-01
2.014450e+01 7.773469e-01
2.039350e+01 7.342916e-01
2.064250e+01 6.936328e-01
2.089150e+01 6.623664e-01
2.114050e+01 6.401595e-01
2.138950e+01 6.245528e-01
2.163850e+01 6.176288e-01
2.188750e+01 6.191394e-01
2.213650e+01 6.339682e-01
2.238550e+01 6.568949e-01
2.263450e+01 6.944901e-01
2.288350e+01 7.381083e-01
2.313250e+01 7.912688e-01
2.338150e+01 8.500801e-01
2.363050e+01 9.034184e-01
2.387950e+01 9.456007e-01
2.412850e+01 9.781284e-01
2.437750e+01 9.912521e-01
2.462650e+01 9.773458e-01
2.487550e+01 9.514251e-01
