# r          S(k)
4.735000e-01 nan
7.225000e-01 -1.050375e-02
9.715000e-01 -1.008806e-02
1.220500e+00 -1.081080e-02
1.469500e+00 -1.236865e-02
1.718500e+00 -1.291975e-02
1.967500e+00 -1.467552e-02
2.216500e+00 -1.557511e-02
2.465500e+00 -1.847313e-02
2.714500e+00 -2.294767e-02
2.963500e+00 -2.746752e-02
3.212500e+00 -3.150456e-02
3.461500e+00 -3.725526e-02
3.710500e+00 -4.627415e-02
3.959500e+00 -5.919866e-02
4.208500e+00 -7.541843e-02
4.457500e+00 -9.092163e-02
4.706500e+00 -1.140001e-01
4.955500e+00 -1.340363e-01
5.204500e+00 -1.661060e-01
5.453500e+00 -1.986217e-01
5.702500e+00 -2.369182e-01
5.951500e+00 -2.712753e-01
6.200500e+00 -2.987682e-01
6.449500e+00 -3.112292e-01
6.698500e+00 -2.793147e-01
6.947500e+00 -1.609192e-01
7.196500e+00 7.131096e-02
7.445499e+00 2.536831e-01
7.694500e+00 3.100345e-01
7.943500e+00 2.763571e-01
8.192500e+00 2.291773e-01
8.441500e+00 1.846113e-01
8.690500e+00 1.479354e-01
8.939501e+00 1.179575e-01
9.188500e+00 9.762063e-02
9.437500e+00 7.475861e-02
9.686501e+00 5.694358e-02
9.935500e+00 3.840606e-02
1.018450e+01 2.093481e-02
1.043350e+01 -1.329147e-04
1.068250e+01 -2.059078e-02
1.093150e+01 -4.113276e-02
1.118050e+01 -6.754728e-02
1.142950e+01 -9.388448e-02
1.167850e+01 -1.185451e-01
1.192750e+01 -1.379677e-01
1.217650e+01 -1.462479e-01
1.242550e+01 -1.337301e-01
1.267450e+01 -1.026833e-01
1.292350e+01 -6.581166e-02
1.317250e+01 -3.688138e-02
1.342150e+01 -9.604947e-03
1.367050e+01 2.896834e-03
1.391950e+01 1.117857e-02
1.416850e+01 2.307825e-02
1.441750e+01 3.234269e-02
1.466650e+01 4.483290e-02
1.491550e+01 5.523999e-02
1.516450e+01 6.582956e-02
1.541350e+01 7.224289e-02
1.566250e+01 7.829352e-02
1.591150e+01 7.986800e-02
1.616050e+01 7.788490e-02
1.640950e+01 7.324241e-02
1.665850e+01 6.554879e-02
1.690750e+01 5.351520e-02
1.715650e+01 3.889286e-02
1.740550e+01 1.633593e-02
1.765450e+01 -9.005373e-03
1.790350e+01 -3.643295e-02
1.815250e+01 -6.290487e-02
1.840150e+01 -8.288948e-02
1.865050e+01 -9.319296e-02
1.889950e+01 -9.109167e-02
1.914850e+01 -8.018952e-02
1.939750e+01 -6.492610e-02
1.964650e+01 -5.023415e-02
1.989550e+01 -3.385961e-02
2.014450e+01 -2.095321e-02
2.039350e+01 -8.747889e-03
2.064250e+01 1.426832e-03
2.089150e+01 8.194551e-03
2.114050e+01 1.553061e-02
2.138950e+01 2.095500e-02
2.163850e+01 2.745690e-02
2.188750e+01 3.222506e-02
2.213650e+01 3.819290e-02
2.238550e+01 4.398351e-02
2.263450e+01 4.785006e-02
2.288350e+01 5.081091e-02
2.313250e+01 5.176788e-02
2.338150e+01 4.972493e-02
2.363050e+01 4.252502e-02
2.387950e+01 3.284406e-02
2.412850e+01 1.878559e-02
2.437750e+01 3.863519e-03
2.462650e+01 -1.280960e-02
2.487550e+01 -2.563384e-02
